target_id,reference_price,normal_price_min,normal_price_max,accepted_count,rejected_count,review_reasons
aesthetic-case-151c371be2c4a19b,1700,1700,1700,1,0,风格方案人工核实
aesthetic-case-19b5104afc66fe77,599,599,599,1,0,风格方案人工核实
aesthetic-case-1d205899ec055ab6,169,169,169,1,0,风格方案人工核实
aesthetic-case-1d4c3b9d03e3ba17,899,899,899,1,0,风格方案人工核实
aesthetic-case-201935e5e732526a,579,579,579,1,0,风格方案人工核实
aesthetic-case-227d45b3b31f4da3,3599,3599,3599,1,0,风格方案人工核实
aesthetic-case-229e4127a731d007,599,599,599,1,0,风格方案人工核实
aesthetic-case-2350da659b72578d,450,450,450,1,0,风格方案人工核实
aesthetic-case-24aae829d381900d,699,699,699,1,0,风格方案人工核实
aesthetic-case-2d43df3815463494,159,159,159,1,0,风格方案人工核实
aesthetic-case-300844b1539dad8f,599,599,599,1,0,风格方案人工核实
aesthetic-case-314d32fd4e93978c,449,449,449,1,0,风格方案人工核实
aesthetic-case-36ee048025ff8b3c,2300,2300,2300,1,0,风格方案人工核实
aesthetic-case-37a2cff936dbf784,549,549,549,1,0,风格方案人工核实
aesthetic-case-37c5ec1577d48479,299,299,299,1,0,风格方案人工核实
aesthetic-case-4193cc9bdf16305f,1299,1299,1299,1,0,风格方案人工核实
aesthetic-case-435a7fd03bc4af4c,849,849,849,1,0,风格方案人工核实
aesthetic-case-479bb14158b0a442,549,549,549,1,0,风格方案人工核实
aesthetic-case-486b49af180cac86,499,499,499,1,0,风格方案人工核实
aesthetic-case-48c18c0a2d29e9b3,659,659,659,1,0,风格方案人工核实
aesthetic-case-4964dd12357c5274,699,699,699,1,0,风格方案人工核实
aesthetic-case-4a384289600d0098,549,549,549,1,0,风格方案人工核实
aesthetic-case-4c003a1f1db2878,259,259,259,1,0,风格方案人工核实
aesthetic-case-4d3dccb012fcf28f,399,399,399,1,0,风格方案人工核实
aesthetic-case-4e4ae5a1adb2f38f,150,150,150,1,0,风格方案人工核实
aesthetic-case-50f837ff2ed3b526,399,399,399,1,0,风格方案人工核实
aesthetic-case-52278aac9d790b,3799,3799,3799,1,0,风格方案人工核实
aesthetic-case-52cc3572f63c7415,549,549,549,1,0,风格方案人工核实
aesthetic-case-53b39def8fc16686,299,299,299,1,0,风格方案人工核实
aesthetic-case-5b407ad685a961dd,1699,1699,1699,1,0,风格方案人工核实
aesthetic-case-5d5e00ff2eee03ce,549,549,549,1,0,风格方案人工核实
aesthetic-case-5d75bfbf0eb0f862,209,209,209,1,0,风格方案人工核实
aesthetic-case-5e14b65f5053cbbf,899,899,899,1,0,风格方案人工核实
aesthetic-case-64276fa077bf121d,169,169,169,1,0,风格方案人工核实
aesthetic-case-69109075bfe2f67,1700,1700,1700,1,0,风格方案人工核实
aesthetic-case-6b4f456f54027ecd,249,249,249,1,0,风格方案人工核实
aesthetic-case-6f62df2c30bc1e85,309,309,309,1,0,风格方案人工核实
aesthetic-case-7043e8c4ae41d44e,169,169,169,1,0,风格方案人工核实
aesthetic-case-7251fe2930e30629,399,399,399,1,0,风格方案人工核实
aesthetic-case-72ee3f1e5a243a06,1399,1399,1399,1,0,风格方案人工核实
aesthetic-case-735f171acb990729,150,150,150,1,0,风格方案人工核实
aesthetic-case-7648f4216eaa1361,1700,1700,1700,1,0,风格方案人工核实
aesthetic-case-771d5d1733feca7f,739,739,739,1,0,风格方案人工核实
aesthetic-case-78112ebc05d058f4,1599,1599,1599,1,0,风格方案人工核实
aesthetic-case-78dce6dc0caee2ae,599,599,599,1,0,风格方案人工核实
aesthetic-case-7d90b78d79977596,459,459,459,1,0,风格方案人工核实
aesthetic-case-83843f49206d92f2,658,658,658,1,0,风格方案人工核实
aesthetic-case-847c3db5bc1d42b1,569,569,569,1,0,风格方案人工核实
aesthetic-case-8ad2897559f3ada3,1699,1699,1699,1,0,风格方案人工核实
aesthetic-case-90bc7c6f8a5985aa,189,189,189,1,0,风格方案人工核实
aesthetic-case-96a89e159220f008,1399,1399,1399,1,0,风格方案人工核实
aesthetic-case-9916339cccb3e688,579,579,579,1,0,风格方案人工核实
aesthetic-case-9a2f605a34552339,1700,1700,1700,1,0,风格方案人工核实
aesthetic-case-9af90d2b2b491960,1299,1299,1299,1,0,风格方案人工核实
aesthetic-case-9bec2549f7ad8cfe,2300,2300,2300,1,0,风格方案人工核实
aesthetic-case-9c715419f6d43b05,549,549,549,1,0,风格方案人工核实
aesthetic-case-9df9e0b866a47cf1,599,599,599,1,0,风格方案人工核实
aesthetic-case-9fa31460a6c0f291,899,899,899,1,0,风格方案人工核实
aesthetic-case-a253f71a98c7e340,209,209,209,1,0,风格方案人工核实
aesthetic-case-a7e793895564ad0f,249,249,249,1,0,风格方案人工核实
aesthetic-case-a9a3d7f5a052bd59,339,339,339,1,0,风格方案人工核实
aesthetic-case-aca0d5cab9353682,1299,1299,1299,1,0,风格方案人工核实
aesthetic-case-af8659ab5e15145f,299,299,299,1,0,风格方案人工核实
aesthetic-case-b7f3531285aac81f,699,699,699,1,0,风格方案人工核实
aesthetic-case-b85d20247c37d3cf,450,450,450,1,0,风格方案人工核实
aesthetic-case-b9b72de8b4470c4f,699,699,699,1,0,风格方案人工核实
aesthetic-case-be2c3a0982e0c8e,849,849,849,1,0,风格方案人工核实
aesthetic-case-bf0b865ff85d436b,299,299,299,1,0,风格方案人工核实
aesthetic-case-c13b078fa490816,1599,1599,1599,1,0,风格方案人工核实
aesthetic-case-c2606e3e880c3c9d,1299,1299,1299,1,0,风格方案人工核实
aesthetic-case-c4473a414f570be9,3799,3799,3799,1,0,风格方案人工核实
aesthetic-case-c46dfd2d4f0b67d7,549,549,549,1,0,风格方案人工核实
aesthetic-case-c4efa6d27c258c64,499,499,499,1,0,风格方案人工核实
aesthetic-case-c7e4a7404dcb93b0,549,549,549,1,0,风格方案人工核实
aesthetic-case-cc9bb452895bfeaa,699,699,699,1,0,风格方案人工核实
aesthetic-case-cd7d952292ee4804,399,399,399,1,0,风格方案人工核实
aesthetic-case-ce0baebc36c0e6bb,339,339,339,1,0,风格方案人工核实
aesthetic-case-cf9a64f798e4825a,259,259,259,1,0,风格方案人工核实
aesthetic-case-d037fb12f3da4664,299,299,299,1,0,风格方案人工核实
aesthetic-case-d1afd52452ebb007,329,329,329,1,0,风格方案人工核实
aesthetic-case-d2a511c4e449cf6c,189,189,189,1,0,风格方案人工核实
aesthetic-case-daca8f05cd1f6430,159,159,159,1,0,风格方案人工核实
aesthetic-case-dd675ecf29f50196,699,699,699,1,0,风格方案人工核实
aesthetic-case-df12748638b7b534,658,658,658,1,0,风格方案人工核实
aesthetic-case-e35acdfdcec905df,169,169,169,1,0,风格方案人工核实
aesthetic-case-e3648d1d2b8e2590,649,649,649,1,0,风格方案人工核实
aesthetic-case-e58fc89983548301,329,329,329,1,0,风格方案人工核实
aesthetic-case-e78dec63e0e13b5d,699,699,699,1,0,风格方案人工核实
aesthetic-case-e98e35d0851ec674,399,399,399,1,0,风格方案人工核实
aesthetic-case-e9ba48c96cf664d9,899,899,899,1,0,风格方案人工核实
aesthetic-case-ed25ba648f7bf7c8,699,699,699,1,0,风格方案人工核实
aesthetic-case-ef649da7f4a34dca,449,449,449,1,0,风格方案人工核实
aesthetic-case-f2eb3714ded501dd,3599,3599,3599,1,0,风格方案人工核实
aesthetic-case-f36ff697523b7f4d,599,599,599,1,0,风格方案人工核实
aesthetic-case-fbeac353cd2eb7a,549,549,549,1,0,风格方案人工核实
aesthetic-case-fd3df663a73845bd,679,679,679,1,0,风格方案人工核实
aesthetic-cooler-1e8294423e191450,169,169,169,1,0,风格方案人工核实
aesthetic-cooler-214d9e1edb71ce37,1000,1000,1000,1,0,风格方案人工核实
aesthetic-cooler-22b62fd793734989,1599,1599,1599,1,0,风格方案人工核实
aesthetic-cooler-29435ce3045b9c5a,499,499,499,1,0,风格方案人工核实
aesthetic-cooler-33930924dbd542ba,2699,2699,2699,1,0,风格方案人工核实
aesthetic-cooler-33f07b7d7c44a547,699,699,699,1,0,风格方案人工核实
aesthetic-cooler-3bd8fb10cdf8ac5c,899,899,899,1,0,风格方案人工核实
aesthetic-cooler-3ee0ea0a212f172c,299,299,299,1,0,风格方案人工核实
aesthetic-cooler-3f9d1e69867adc4c,1499,1499,1499,1,0,风格方案人工核实
aesthetic-cooler-425ff75bacea428f,219,219,219,1,0,风格方案人工核实
aesthetic-cooler-4a6ad9ea7ec2eac7,1799,1799,1799,1,0,风格方案人工核实
aesthetic-cooler-557312c819b7a736,1799,1799,1799,1,0,风格方案人工核实
aesthetic-cooler-5930a7c130466fbe,950,950,950,1,0,风格方案人工核实
aesthetic-cooler-5b34c5e9467186a,299,299,299,1,0,风格方案人工核实
aesthetic-cooler-5c7a941ab88144d,219,219,219,1,0,风格方案人工核实
aesthetic-cooler-5de5cd345106b126,499,499,499,1,0,风格方案人工核实
aesthetic-cooler-6249f7155785b917,599,599,599,1,0,风格方案人工核实
aesthetic-cooler-62e0e4efde43e1ca,2599,2599,2599,1,0,风格方案人工核实
aesthetic-cooler-66f80bdf9b2dd8a,1499,1499,1499,1,0,风格方案人工核实
aesthetic-cooler-6864f537ec2091c5,1799,1799,1799,1,0,风格方案人工核实
aesthetic-cooler-68b8a7cf34cbe8d8,2599,2599,2599,1,0,风格方案人工核实
aesthetic-cooler-6f0706d18701412,299,299,299,1,0,风格方案人工核实
aesthetic-cooler-7c5f39b30d194a8b,599,599,599,1,0,风格方案人工核实
aesthetic-cooler-7eedcad0b0695c1c,499,499,499,1,0,风格方案人工核实
aesthetic-cooler-809ed2d15e6b3ae0,499,499,499,1,0,风格方案人工核实
aesthetic-cooler-833b927a5d797aa5,599,599,599,1,0,风格方案人工核实
aesthetic-cooler-83625478ba133485,139,139,139,1,0,风格方案人工核实
aesthetic-cooler-8c6c0d1d3587b8f0,299,299,299,1,0,风格方案人工核实
aesthetic-cooler-92469b70ec575802,499,499,499,1,0,风格方案人工核实
aesthetic-cooler-9b842430d564f21e,899,899,899,1,0,风格方案人工核实
aesthetic-cooler-9e5aef3beb44de72,169,169,169,1,0,风格方案人工核实
aesthetic-cooler-a3a966978ef23c41,699,699,699,1,0,风格方案人工核实
aesthetic-cooler-a49d1cd58a1ac50a,1599,1599,1599,1,0,风格方案人工核实
aesthetic-cooler-a4c97a4538342b8c,2699,2699,2699,1,0,风格方案人工核实
aesthetic-cooler-a5fe1aacb3462186,1499,1499,1499,1,0,风格方案人工核实
aesthetic-cooler-aeba168721f8fb1,499,499,499,1,0,风格方案人工核实
aesthetic-cooler-afabd66482a2da75,1000,1000,1000,1,0,风格方案人工核实
aesthetic-cooler-b29f3d40d94df91,399,399,399,1,0,风格方案人工核实
aesthetic-cooler-b6d6bb74d346ba6a,399,399,399,1,0,风格方案人工核实
aesthetic-cooler-c9b879a3eb42d788,1499,1499,1499,1,0,风格方案人工核实
aesthetic-cooler-ca1b4a7eb45e1793,399,399,399,1,0,风格方案人工核实
aesthetic-cooler-ca7b1a915a7e2d28,1599,1599,1599,1,0,风格方案人工核实
aesthetic-cooler-cf30efbce32c36b3,499,499,499,1,0,风格方案人工核实
aesthetic-cooler-d0d79a09e239bb35,699,699,699,1,0,风格方案人工核实
aesthetic-cooler-d30afbac81b4596b,139,139,139,1,0,风格方案人工核实
aesthetic-cooler-d36d1eea60936684,499,499,499,1,0,风格方案人工核实
aesthetic-cooler-da6b2a57b5214404,499,499,499,1,0,风格方案人工核实
aesthetic-cooler-e2501f63f9e4e6f8,1799,1799,1799,1,0,风格方案人工核实
aesthetic-cooler-e366003282681342,499,499,499,1,0,风格方案人工核实
aesthetic-cooler-eb5537b134750955,599,599,599,1,0,风格方案人工核实
aesthetic-cooler-ede15972ea65ecf7,699,699,699,1,0,风格方案人工核实
aesthetic-cooler-f0045920600eb92c,399,399,399,1,0,风格方案人工核实
aesthetic-cooler-f9857ea128da29fc,950,950,950,1,0,风格方案人工核实
aesthetic-cooler-fda1fe5e758d35ef,1599,1599,1599,1,0,风格方案人工核实
aesthetic-extra-1003542f0360f177,120,120,120,1,0,风格方案人工核实
aesthetic-extra-1004419cab66779a,90,90,90,1,0,风格方案人工核实
aesthetic-extra-129550f5b542a047,686,686,686,1,0,风格方案人工核实
aesthetic-extra-13bc0678a78d6e84,499,499,499,1,0,风格方案人工核实
aesthetic-extra-13d48a50d93b39dd,2000,2000,2000,1,0,风格方案人工核实
aesthetic-extra-1516309715fadc7a,99,99,99,1,0,风格方案人工核实
aesthetic-extra-1655734d0474c872,50,50,50,1,0,风格方案人工核实
aesthetic-extra-1826ebfddffa5f54,89,89,89,1,0,风格方案人工核实
aesthetic-extra-1da3c94593ce1fdd,566,566,566,1,0,风格方案人工核实
